seed,repeat,method,approach,n_alt,m,L,q,ref_ratio,n_ref,n_test,noise,noise_mode,k_non_mono,k_non_mono_effective,peak_type,peak_mode,scale,repair_if_inconsistent,consistency_status,consistency_obj,is_consistent,used_adjustment,adjustment_status,adjustment_obj,status,fit_ok,obj,cpu_sec,epsilon,acc_train,acc_train_noisy_target,acc_test,adj_acc_test,mono_recovery_acc,error
0,0,zhang_A1,1,200,3,4,2,0.1,20,180,0.0,adjacent,0,0,central,center,minmax,True,2,0.0,True,False,,,2,True,0.10392631631555838,0.008942299988120794,0.10392631631555838,1.0,1.0,0.8611111111111112,1.0,1.0,
1,1,zhang_A1,1,200,3,4,2,0.1,20,180,0.0,adjacent,0,0,central,center,minmax,True,2,0.0,True,False,,,2,True,0.16051709227861743,0.009054400026798248,0.16051709227861743,0.95,0.95,0.8888888888888888,1.0,1.0,
2,2,zhang_A1,1,200,3,4,2,0.1,20,180,0.0,adjacent,0,0,central,center,minmax,True,2,0.0,True,False,,,2,True,0.1314461936833512,0.013242000015452504,0.1314461936833512,1.0,1.0,0.9277777777777778,1.0,1.0,
3,3,zhang_A1,1,200,3,4,2,0.1,20,180,0.0,adjacent,0,0,central,center,minmax,True,2,0.0,True,False,,,2,True,0.18998344821755087,0.013509399956092238,0.18998344821755087,0.95,0.95,0.8611111111111112,1.0,1.0,
4,4,zhang_A1,1,200,3,4,2,0.1,20,180,0.0,adjacent,0,0,central,center,minmax,True,2,0.0,True,False,,,2,True,0.18192999250781505,0.00973409996367991,0.18192999250781505,1.0,1.0,0.8444444444444444,1.0,1.0,
5,5,zhang_A1,1,200,3,4,2,0.1,20,180,0.0,adjacent,0,0,central,center,minmax,True,2,0.0,True,False,,,2,True,0.023102528684587176,0.010631900047883391,0.023102528684587176,1.0,1.0,0.8944444444444445,1.0,1.0,
6,6,zhang_A1,1,200,3,4,2,0.1,20,180,0.0,adjacent,0,0,central,center,minmax,True,2,0.0,True,False,,,2,True,0.15282335648715484,0.010730499983765185,0.15282335648715484,0.95,0.95,0.8333333333333334,1.0,1.0,
7,7,zhang_A1,1,200,3,4,2,0.1,20,180,0.0,adjacent,0,0,central,center,minmax,True,2,0.0,True,False,,,2,True,0.17105240723558346,0.011088699917308986,0.17105240723558346,1.0,1.0,0.8444444444444444,1.0,1.0,
8,8,zhang_A1,1,200,3,4,2,0.1,20,180,0.0,adjacent,0,0,central,center,minmax,True,2,0.0,True,False,,,2,True,0.17982292913944353,0.013350300025194883,0.17982292913944353,1.0,1.0,0.9222222222222223,1.0,1.0,
9,9,zhang_A1,1,200,3,4,2,0.1,20,180,0.0,adjacent,0,0,central,center,minmax,True,2,0.0,True,False,,,2,True,0.0009999999999996678,0.009231499978341162,0.0009999999999996678,1.0,1.0,0.9055555555555556,1.0,0.6666666666666666,
10,10,zhang_A1,1,200,3,4,2,0.1,20,180,0.0,adjacent,0,0,central,center,minmax,True,2,0.0,True,False,,,2,True,0.1421278987906236,0.011611800058744848,0.1421278987906236,1.0,1.0,0.8944444444444445,1.0,1.0,
11,11,zhang_A1,1,200,3,4,2,0.1,20,180,0.0,adjacent,0,0,central,center,minmax,True,2,0.0,True,False,,,2,True,0.0009999999999999992,0.011838199920020998,0.0009999999999999992,1.0,1.0,0.8777777777777778,1.0,0.6666666666666666,
12,12,zhang_A1,1,200,3,4,2,0.1,20,180,0.0,adjacent,0,0,central,center,minmax,True,2,0.0,True,False,,,2,True,0.11737052667761816,0.008480099961161613,0.11737052667761816,0.9,0.9,0.8444444444444444,1.0,1.0,
13,13,zhang_A1,1,200,3,4,2,0.1,20,180,0.0,adjacent,0,0,central,center,minmax,True,2,0.0,True,False,,,2,True,0.21682658103022767,0.00809979997575283,0.21682658103022767,0.95,0.95,0.7888888888888889,1.0,1.0,
14,14,zhang_A1,1,200,3,4,2,0.1,20,180,0.0,adjacent,0,0,central,center,minmax,True,2,0.0,True,False,,,2,True,0.0637955128279275,0.007700299960561097,0.0637955128279275,0.95,0.95,0.9,1.0,1.0,
15,15,zhang_A1,1,200,3,4,2,0.1,20,180,0.0,adjacent,0,0,central,center,minmax,True,2,0.0,True,False,,,2,True,0.1655196193225359,0.008935400051996112,0.1655196193225359,0.9,0.9,0.9277777777777778,1.0,1.0,
16,16,zhang_A1,1,200,3,4,2,0.1,20,180,0.0,adjacent,0,0,central,center,minmax,True,2,0.0,True,False,,,2,True,0.13930860229426828,0.008366300025954843,0.13930860229426828,1.0,1.0,0.85,1.0,1.0,
17,17,zhang_A1,1,200,3,4,2,0.1,20,180,0.0,adjacent,0,0,central,center,minmax,True,2,0.0,True,False,,,2,True,0.14779057596497835,0.009113900014199317,0.14779057596497835,0.95,0.95,0.9222222222222223,1.0,1.0,
18,18,zhang_A1,1,200,3,4,2,0.1,20,180,0.0,adjacent,0,0,central,center,minmax,True,2,0.0,True,False,,,2,True,0.08779038574488984,0.009161100024357438,0.08779038574488984,0.95,0.95,0.9222222222222223,1.0,1.0,
